step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,1724797465971-2,0.38822931631965746,0.6299792448649976,1.856827371695179,,¿Porque decidieron hacer la olla comunitaria?,"Yo ya entré a la cocina. Nos fuimos organizando porque ya empezó a llegar la comida y ya había quienes se quedaban, se encargaran de cocinar y otros se encargaban de traer, o la gente llegaba y nos llevaba comida para hacer, a veces llevaban también hecho. Venían en carros, llegaban en carros había mucha gente que tenía como su dinero, o tenía algún emprendimiento o algo pero el caso era que allá nos llegaban arrobas de arroz, de lentejas, de frijoles, bastante café... pasta, atún, el huesito para hacer el sancocho. Y cuando no llegaba pues entonces ellos iban a buscar, pero prácticamente al principio nos tocó de todo, cocinar, ayudar a los muchachos, estar pendientes los muchachos, que no les fuera a pasar otra cosa. Acá por ejemplo nos ayudó mucho una panadería que hay por ahí cerca, otra de una donde hacían atadero de pollo, nos daban agua. La gente de más allá nos daba agua, daban agua, daban leche. Cocinamos, cargamos agua, cargamos leña lo que nos tocara hacer, lo que habría que hacer, cuidar y así transcurrieron los días. ",,,,,,,,
2,1724797465971-2,0.3824246128584312,0.26678744535945154,1.8475894245723172,,ollas comunitarias,"En realidad, muchos de esos jóvenes —a diferencia de lo que ocurre curiosamente en algunos movimientos, plataformas u organizaciones donde hay mucha formación ideológica o convicción política— estaban realmente convencidos y decididos a entregar todo, incluso la vida, en ese espacio. Y lo hicieron. ",,Saber más,plantilla_en_blanco-saber-mas.md,,,,,
